0064088500舗装 ほそう 铺路，用砖块、柏油、混凝土等加固路面    0642135 名他動3 ⓪
0064789700ホチキス hotchkiss (商标名，源于美国发明家霍契凯斯的名字)订书机    0649369 名 ①
0065096600北極 ほっきょく 北极，北极圈，北半球的尽头    0652273 名 ⓪
0065663800没収 ぼっしゅう 没收，强制性收缴    0657983 名他動3 ⓪
0066106200ほっと ほっと 放心，安心，指从担心、操劳中解放出来    0662376 副自動3 ③⓪
0066795600程 ほど 程度；限度；分寸，身份；时候，时分；(副助)(接活用词连体形后)大致的范围，大体…,表示比较的基准；表示程度的变化，越…越…    0668999 名副助 ⓪②
0068486200解ける ほどける 解开，松开；缓解，融洽    0686324 自動2 ③
0069055200施す ほどこす 施舍，救济；施行；施加    0692774 他動1 ③
0069706200ほとり ほとり 旁边，畔，河流、池塘等的旁边    0698501 名 ⓪③
0070341900炎 ほのお 火焰，火苗，燃烧着的火；怒火，妒火    0704741 名 ①
0071044800ほぼ ほぼ 几乎，大概，大略    0711367 副 ①
0071459100ボランティア volunteer 志愿者，自发、无偿参加社会福利工作的人    0716354 名 ②
0072166200堀 ほり 沟，渠，护城河    0722928 名 ②
0072616600彫る ほる 雕刻，篆刻    0726904 他動1 ①
0072911000ぼろ ぼろ 破布，破烂衣服，(隐藏的)缺点    0730306 名 ①
0073393400ぼろ～ ぼろ～ 破的，破旧的    0735204 接頭
0073758100ぼろぼろ ぼろぼろ 破烂不堪；干巴巴的，呈颗粒状；身心俱疲，精力耗尽的    0739631 ナ形 ①
0074703700盆 ぼん 盆，托盘，盛物器具；盂兰盆(节)    0748125 名 ⓪
0075260700本格的 ほんかくてき 真正的，正规的；正式的    0754076 ナ形 ⓪
0075778200本気 ほんき 认真，当真    0759156 ナ形 ⓪
0076128500本国 ほんごく 本国，祖国；故乡，老家；本国国土，而非殖民地    0763197 名 ①
0077027700本質 ほんしつ 本质，事物原本的性质或状态    0771322 名 ⓪
0077529000本質的 ほんしつてき 本质的，本质上，与本质有关的    0777473 ナ形 ⓪
0078199000盆地 ぼんち 盆地，周围被高低包围的平地    0783183 名 ⓪
0078731600ほんの ほんの 一点点，些许，仅仅    0788245 連体 ⓪
0079168500本物 ほんもの 真货，真物；正式，正规    0792982 名 ⓪
0079715500本来 ほんらい 原本，本来；普通，平常    0798529 名副 ①
0080284000本来ならば ほんらいならば 普通，应当    0804482 副 ①
0080672500マーク mark 标记，记号，做标记；盯，看，尾随；创造(记录等)    0808568 名他動3 ①
0081602600マーケット market 市场，商场，集市，行情    0817476 名 ③①
0082224300麻雀 マージャン 麻将，室内游戏之一，由中国传入日本，大正末期普及    0824161 名 ⓪①
0083087400マイク microphone 麦克风，话筒    0832073 名 ①
0083454500枚数 まいすう 张数，页数，计算纸张、板、盘子、衣物等的数量    0835788 名 ③
0084268200参る まいる 去，来，「行く」、「来る」的自谦语；「行く」、「来る」的郑重语；参拜；投降，服输；受不了，难以对付    0843662 自動1 ①
0085660400完了 完了 完了   
